,lab,mean,var,median,IQR,min,max,n
30,alkaline phos.,3.1375366740136332,16.79896013909379,2.0,3.0,1,215,137018
31,WBC x 1000,5.999672250738757,42.301826840055114,4.0,5.0,1,245,189169
32,creatinine,6.708986374734189,55.42420516145444,5.0,6.0,1,280,190455
33,calcium,6.564960566726236,54.639880863573936,4.0,6.0,1,280,186898
34,Hgb,6.870889236889998,64.72946158208111,5.0,6.0,1,324,189016
35,bicarbonate,6.663812015084113,55.92237155501113,4.0,6.0,1,280,180057
36,potassium,7.851664703655407,90.61931041657154,5.0,7.0,1,507,190184
37,-polys,4.238839911765375,23.994804669952217,3.0,4.0,1,239,131921
38,-monos,4.348506954576403,24.751698318971588,3.0,4.0,1,234,143934
39,CPK-MB,2.1907472843868603,2.9599170019966814,2.0,2.0,1,35,30564
40,total bilirubin,3.1485613233614558,17.144338141963146,2.0,3.0,1,215,135715
41,-basos,4.023205414356685,20.125799803796763,3.0,4.0,1,161,138890
42,phosphate,4.597203462174341,39.89742339971052,3.0,4.0,1,207,92543
43,ALT (SGPT),3.126474735267035,16.684796072710512,2.0,3.0,1,215,139008
44,Hct,6.741600025286847,57.348520349383456,4.0,6.0,1,263,189822
45,AST (SGOT),3.1302010636546487,16.714855787526112,2.0,3.0,1,215,139707
46,glucose,6.955625138374925,67.83317142458311,5.0,7.0,1,301,189702
47,total protein,3.1281552977213947,16.602120065986988,2.0,3.0,1,215,138418
48,sodium,7.3162540829508576,78.5801508749505,5.0,7.0,1,312,190426
49,albumin,3.532436073744686,22.71695661977902,2.0,3.0,1,248,143251
50,salicylate,1.1304891110317743,0.7290863166998343,1.0,0.0,1,19,5602
51,Acetaminophen,1.1901565995525727,0.522358694533422,1.0,0.0,1,12,7152
52,ethanol,1.0500125449527473,0.06842526749065385,1.0,0.0,1,9,11957
53,WBC's in urine,1.300276507497607,0.5119563181154487,1.0,0.0,1,17,18806
54,bedside glucose,24.310006965760607,1255.6638040072082,14.0,28.0,1,2514,130639
55,urinary specific gravity,1.3299106364971498,0.661049956542038,1.0,0.0,1,34,80346
56,direct bilirubin,2.0127916310624303,7.596760084267833,1.0,1.0,1,87,38619
57,Total CO2,5.242656197039882,65.66551819369066,3.0,6.0,1,398,35404
58,Base Excess,4.760507304078412,57.591694104880055,2.0,5.0,1,396,69071
59,folate,1.0455327238164207,0.06138847002718995,1.0,0.0,1,12,11047
60,ammonia,1.826851088128926,4.584548008851767,1.0,1.0,1,60,15761
61,TSH,1.1123095823095823,0.15562133957254237,1.0,0.0,1,12,40700
62,Vitamin B12,1.0559116809116809,0.06860241687330512,1.0,0.0,1,13,14040
63,-bands,2.7965200044331153,13.773652733279802,2.0,2.0,1,150,27069
64,LDL,1.0697541200317264,0.09000921993521248,1.0,0.0,1,16,22694
65,total cholesterol,1.0949178351627435,0.20145318477183696,1.0,0.0,1,18,31522
66,HDL,1.0754926891290528,0.11061079065826951,1.0,0.0,1,18,31460
67,triglycerides,1.3548714822716652,1.377250657836994,1.0,0.0,1,42,39372
68,Carboxyhemoglobin,3.982959748377593,44.85095981733976,2.0,3.0,1,237,25117
69,O2 Sat (%),4.5879924446842955,50.083434925940296,2.0,4.0,1,398,74120
70,Methemoglobin,4.128650706849759,53.314972265861016,2.0,4.0,1,273,24687
71,ionized calcium,3.8447538025264243,53.202225048307874,2.0,3.0,1,273,38790
72,TIBC,1.0928827215756491,0.11723949948804872,1.0,0.0,1,8,13404
73,Vancomycin - trough,1.857252183307824,2.1248974327316943,1.0,1.0,1,36,22214
74,Fe/TIBC Ratio,1.090900327742433,0.11677248538888323,1.0,0.0,1,8,10374
75,Fe,1.1010163400527824,0.13158533267323924,1.0,0.0,1,11,17809
76,prealbumin,1.796229802513465,3.6841226009251793,1.0,1.0,1,56,11140
77,lipase,1.4311114048712779,2.22397883942938,1.0,0.0,1,41,30259
78,CRP,1.5799633475870494,2.6028731658118622,1.0,1.0,1,51,8185
79,ESR,1.2254303164908384,0.734553609350145,1.0,0.0,1,20,10806
80,LDH,1.965129760099884,9.939115745290673,1.0,1.0,1,71,11213
81,Vancomycin - random,2.016611609249646,3.6066713570674036,1.0,1.0,1,35,10595
82,Tacrolimus-FK506,6.847193347193347,72.13167265560605,4.0,6.0,1,92,962
83,protein S,1.025518341307815,0.024906879455391318,1.0,0.0,1,2,627
84,Digoxin,1.49763991908294,1.3621593253864717,1.0,1.0,1,28,5932
85,protein C,1.0218340611353711,0.021388468050975842,1.0,0.0,1,2,687
86,CRP-hs,1.448224852071006,2.235833881218497,1.0,0.0,1,13,676
87,Respiratory Rate,2.8056891025641026,17.737010732253744,1.0,2.0,1,116,17472
88,free T4,1.1064735248383666,0.28830233624040635,1.0,0.0,1,19,12219
89,WBC's in cerebrospinal fluid,1.5018034265103697,2.023677395712205,1.0,1.0,1,22,2218
90,protein - CSF,1.4529494382022472,2.8815227343586582,1.0,0.0,1,44,2848
91,glucose - CSF,1.4425939050318923,2.8713931983747494,1.0,0.0,1,47,2822
92,haptoglobin,1.2692413037523966,1.5546125475099715,1.0,0.0,1,29,3651
93,reticulocyte count,1.255026876368704,1.7897870512488436,1.0,0.0,1,44,5023
94,Ferritin,1.0767773177065056,0.10148832218059255,1.0,0.0,1,9,14249
95,WBC's in synovial fluid,1.1145038167938932,0.13294186729301227,1.0,0.0,1,3,131
96,urinary osmolality,1.312787616789848,2.661843427550958,1.0,0.0,1,71,7171
97,serum osmolality,3.096070343030829,35.229831478277895,1.0,1.0,1,155,9212
98,transferrin,1.125766174801362,0.3443064348683118,1.0,0.0,1,16,4405
99,24 h urine urea nitrogen,1.0912698412698412,0.09123822171630935,1.0,0.0,1,3,252
100,amylase,1.4707181344404205,3.0567617545553887,1.0,0.0,1,88,11321
101,myoglobin,1.7489520260829063,1.3903472236992946,1.0,1.0,1,12,2147
102,cortisol,1.1632446134347274,0.3275118440735291,1.0,0.0,1,20,7890
103,Phenytoin,2.311884935654807,5.8686129545704055,1.0,2.0,1,28,2642
104,prolactin,1.0808219178082192,0.09085254711840199,1.0,0.0,1,4,730
105,Phenobarbital,2.23972602739726,7.468107141175915,1.0,1.0,1,19,292
106,Tobramycin - random,1.588865096359743,1.44433926716968,1.0,1.0,1,12,467
107,24 h urine protein,1.1738241308793456,0.2304111065369387,1.0,0.0,1,5,2445
108,Theophylline,1.5550351288056206,2.280414728810018,1.0,0.5,1,14,427
109,Gentamicin - random,1.6730769230769231,1.813663317410641,1.0,1.0,1,14,468
110,Lidocaine,2.265486725663717,13.14317319848293,1.0,1.0,1,33,113
111,Lithium,2.1186440677966103,6.4133709981167595,1.0,1.0,1,26,649
112,T3,1.0865671641791044,0.4596301361717311,1.0,0.0,1,17,1005
113,Gentamicin - peak,1.6598360655737705,1.073112730216555,1.0,1.0,1,5,244
114,Cyclosporin,3.652439024390244,21.504227143498426,2.0,3.0,1,31,164
115,Vent Rate,3.967466245331801,27.834537255558093,2.0,3.0,1,149,13924
116,Carbamazepine,1.6263736263736264,2.1023866001839577,1.0,1.0,1,10,455
117,Tobramycin - peak,1.6973684210526316,1.9471929824561407,1.0,1.0,1,9,76
118,Tobramycin - trough,1.781954887218045,2.3536113009797224,1.0,1.0,1,9,133
119,T4,1.0591614014933945,0.27408412393458625,1.0,0.0,1,15,1741
120,Gentamicin - trough,1.8663366336633664,1.877871409969781,1.0,1.0,1,10,404
121,RPR titer,1.0,0.0,1.0,0.0,1,1,3
122,Legionella pneumophila Ab,1.0,0.0,1.0,0.0,1,1,28
123,T3RU,1.037109375,0.03580219545009785,1.0,0.0,1,2,512
124,PEEP,4.591251271617497,38.982303207593304,3.0,4.0,1,148,24575
125,CPK-MB INDEX,2.092906735380431,2.387072802968947,2.0,2.0,1,20,13971
126,MPV,5.951356443977667,38.83858921200241,4.0,5.0,1,140,129493
127,Temperature,4.122057541412381,36.14639759729917,2.0,4.0,1,323,27528
128,TV,4.397648266529793,35.8110705306875,3.0,4.0,1,244,21431
129,ANF/ANA,1.0158730158730158,0.015656565656565657,1.0,0.0,1,2,441
130,troponin - T,2.575360165385361,4.0782945062073885,2.0,2.0,1,47,15479
131,Pressure Support,2.263560885608856,6.86410245869688,1.0,2.0,1,92,10840
132,WBC's in body fluid,1.2336790726052471,0.37087967960451185,1.0,0.0,1,9,1639
133,Peak Airway/Pressure,2.8446664518208187,16.62383276266204,2.0,2.0,1,72,3103
134,Clostridium difficile toxin A+B,1.1237113402061856,0.1928694158075602,1.0,0.0,1,4,97
135,Mode,1.3326039387308535,0.8189565818265576,1.0,0.0,1,9,457
136,PTT ratio,3.092717086834734,28.961140555970218,1.0,2.0,1,164,3570
137,Oxyhemoglobin,3.6545659065344105,41.33556183598621,2.0,3.0,1,180,9779
138,Spontaneous Rate,2.7358916478555306,9.733783398925423,2.0,2.0,1,38,3544
139,Device,3.7041095890410958,29.262123005806423,1.0,3.0,1,39,730
140,WBC's in pleural fluid,1.1287128712871286,0.15212637889099084,1.0,0.0,1,4,404
141,Vancomycin - peak,1.0294117647058822,0.029411764705882346,1.0,0.0,1,2,34
142,Site,1.2952380952380953,0.5727044884939622,1.0,0.0,1,6,210
143,Pressure Control,2.7577937649880098,16.661553830165165,1.0,2.0,1,49,834
144,serum ketones,1.8114406779661016,3.588573716218648,1.0,1.0,1,18,472
145,O2 Content,4.51313032546445,51.63616899481823,2.0,4.0,1,180,14318
146,cd 4,1.0570824524312896,0.062412656322786364,1.0,0.0,1,3,473
147,WBC's in peritoneal fluid,1.2178571428571427,0.30720686123911933,1.0,0.0,1,4,280
148,WBC's in pericardial fluid,1.0444444444444445,0.04343434343434343,1.0,0.0,1,2,45
149,Amikacin - trough,1.9183673469387754,1.9931972789115644,1.0,1.0,1,8,49
150,Amikacin - random,2.2857142857142856,4.8383458646616555,2.0,2.0,1,13,77
151,NAPA,1.1111111111111112,0.11111111111111112,1.0,0.0,1,2,9
152,Procainamide,1.1111111111111112,0.11111111111111112,1.0,0.0,1,2,9
153,Amikacin - peak,1.588235294117647,1.3404634581105173,1.0,1.0,1,6,34
154,Vent Other,2.1495448634590377,4.434638464456004,1.0,1.0,1,19,769
155,HSV 1&2 IgG AB titer,1.0,0.0,1.0,0.0,1,1,12
156,HIV 1&2 AB,1.0,0.0,1.0,0.0,1,1,7
157,HSV 1&2 IgG AB,1.075,0.07115384615384615,1.0,0.0,1,2,40
