,lab,mean,var,median,IQR,min,max
40,total bilirubin,2351.440699180922,11453192.49848719,1451.0,846.5,-27848.0,145562.0
41,-basos,2148.9075924517624,8446153.43186903,1449.0,475.0,-37376.0,145136.0
42,phosphate,1666.8461599530017,4587283.628402913,1420.0,683.0,-13060.0,173986.0
43,ALT (SGPT),2366.168474059677,11676835.92912251,1451.0,889.0,-27848.0,145562.0
44,Hct,1270.1092454383956,2404716.2911382695,1373.0,880.0,-37376.0,414902.0
45,AST (SGOT),2344.7551361681794,11487797.74708249,1450.0,860.75,-30575.0,145562.0
46,glucose,1160.3861238605948,3484994.3491009525,1332.0,995.0,-29348.0,525001.0
47,total protein,2369.2863052182183,11741629.318896446,1452.0,897.0,-27848.0,145562.0
48,sodium,1177.265533490564,3540600.854351598,1344.0,961.0,-29348.0,525001.0
49,albumin,2133.924627948571,8676338.19168348,1440.0,619.0,-27848.0,145562.0
50,salicylate,603.6388888888889,3211707.971450618,203.0,284.25,-491.0,18006.0
51,Acetaminophen,674.8181818181819,1363644.2348847324,386.0,558.0,-881.0,15434.0
52,ethanol,733.4761904761905,1210592.0351473924,458.0,448.75,0.0,6837.0
53,WBC's in urine,7828.495066744051,94299720.83616257,5253.0,7938.0,-4984.0,168226.0
54,bedside glucose,313.4646796007504,479976.15577230864,260.0,208.0,-17922.0,154562.0
55,urinary specific gravity,6948.6780901039665,67884562.48050956,4663.5,7820.5,-12883.0,159594.0
56,direct bilirubin,3134.0276373803636,24999879.223131217,1479.0,1641.5,-2432.0,198675.0
57,Total CO2,1063.0027246719042,5924160.52458274,366.0,1130.0,-17240.0,79918.0
58,Base Excess,2036.5659627428938,44987336428.955666,422.0,1224.0,-26301.0,47319220.0
59,folate,6468.063063063063,149401521.4464735,2198.0,5461.0,-725.0,113589.0
60,ammonia,3495.049495875344,29842833.738155108,1586.5,2725.5,-12057.0,131260.0
61,TSH,6558.190303030303,118884937.72984536,2962.0,6949.0,-5961.0,116968.0
62,Vitamin B12,7790.88961038961,192879861.92937258,2641.0,7864.75,-5948.0,110490.0
63,-bands,2681.3637947206216,13789113.656612264,1475.0,1545.0,-30539.0,67845.0
64,LDL,3330.641666666667,53330682.446597226,1373.5,2391.5,-343.0,90612.0
65,total cholesterol,3294.1941964285716,37706224.59844846,1441.5,2435.5,-343.0,90612.0
66,HDL,3189.3807106598983,40551137.332216755,1430.5,2114.25,-343.0,90612.0
67,triglycerides,4822.275470048098,24486458.583495352,4101.0,4431.5,-343.0,90612.0
68,Carboxyhemoglobin,987.9853340384276,5609081.960511156,420.0,1258.0,-15054.0,104989.0
69,O2 Sat (%),2091.874462668503,46765065292.16971,439.0,1231.0,-26301.0,47319220.0
70,Methemoglobin,986.3281881790373,5597948.8798808595,420.0,1259.0,-15054.0,104989.0
71,ionized calcium,1213.8349104960178,29055101.226944648,446.5,1297.0,-17240.0,525015.0
72,TIBC,9596.41150442478,121679248.75544286,5977.0,11803.75,-651.0,65090.0
73,Vancomycin - trough,3955.8662460567825,22699294.10576919,2853.0,2729.25,-952.0,74935.0
74,Fe/TIBC Ratio,10218.994047619048,253094971.5773455,5725.5,11593.0,-42.0,158163.0
75,Fe,10118.300859598854,208857000.15303656,5255.0,12109.0,-651.0,158163.0
76,prealbumin,6934.054263565891,40993994.17535004,5894.0,8554.0,-1598.0,77841.0
77,lipase,3027.509099181074,25120996.59841584,1453.0,1715.75,-2885.0,56432.0
78,CRP,5464.103837471784,55945089.727366775,2587.0,5895.5,-1840.0,69694.0
79,ESR,5746.360465116279,54241936.24913467,3134.0,5338.0,120.0,66161.0
80,LDH,2617.650137741047,40639967.081453145,1417.0,1180.0,-30575.0,149162.0
81,Vancomycin - random,2586.542461005199,11393839.541957894,1535.0,1466.25,-765.0,45797.0
82,Tacrolimus-FK506,1792.0778032036612,2047984.840628584,1454.0,181.75,-17750.0,20675.0
83,,,,,,,
84,Digoxin,4563.973451327433,36333840.37982614,2721.5,4252.0,0.0,67629.0
85,,,,,,,
86,CRP-hs,3473.0752688172042,23543581.198635682,1590.0,1832.0,1.0,39526.0
87,Respiratory Rate,1428.4530225782958,133405596.9113846,835.0,1136.0,-6573.0,1032835.0
88,free T4,6765.70979020979,71805291.89829578,3947.0,7049.0,-121.0,63218.0
89,WBC's in cerebrospinal fluid,2616.484375,17192076.14038086,5.5,3007.0,-16.0,19601.0
90,protein - CSF,7094.661538461539,32101429.700828403,5233.0,7173.0,0.0,26044.0
91,glucose - CSF,6802.861538461539,26231802.08852071,5270.0,6944.0,0.0,26044.0
92,haptoglobin,4353.573076923077,51827533.23696747,1500.5,3414.25,-1366.0,73451.0
93,reticulocyte count,4018.4882154882157,46865237.866022736,1542.0,2707.0,-13083.0,80706.0
94,Ferritin,10463.447236180904,263450830.42812052,4992.0,11928.5,-683.0,158163.0
95,WBC's in synovial fluid,2885.25,18427609.1875,637.5,3506.75,-1.0,10267.0
96,urinary osmolality,3974.701219512195,39088435.46560827,1828.0,3989.5,-5.0,76630.0
97,serum osmolality,947.1227134146342,4890521.064971905,395.0,343.25,-943.0,35042.0
98,transferrin,11034.763157894737,647289552.91759,4256.0,10728.0,0.0,158163.0
99,24 h urine urea nitrogen,5948.25,17081009.6875,6950.0,6627.75,-2.0,9895.0
100,amylase,3246.8275529865127,20758609.48567628,1470.0,3356.75,-278.0,40762.0
101,myoglobin,2579.190476190476,11555330.249433108,1686.0,2398.0,0.0,14498.0
102,cortisol,4214.069498069498,53394426.30405033,1369.0,3907.5,-1261.0,44298.0
103,Phenytoin,2636.5469061876247,12230432.008278852,1476.0,1566.0,0.0,29987.0
104,prolactin,5511.666666666667,93036333.88888888,1104.0,1604.75,389.0,27016.0
105,Phenobarbital,6692.823529411765,30222520.96885813,4607.0,6472.0,1481.0,20089.0
106,Tobramycin - random,2663.340425531915,7233058.352195564,1743.0,1952.0,164.0,15480.0
107,24 h urine protein,5931.785714285715,37929695.8112245,3216.0,9708.0,-579.0,19929.0
108,Theophylline,2449.5925925925926,9434700.056241425,1477.0,1396.75,-413.0,17433.0
109,Gentamicin - random,3178.470588235294,5643248.131487889,2701.0,3202.0,615.0,8140.0
110,Lidocaine,1724.357142857143,3636272.086734694,1228.0,1617.5,-1.0,9123.0
111,Lithium,2805.9930555555557,66034846.43745177,706.0,1137.0,-104.0,79253.0
112,T3,3210.9523809523807,15812419.473922899,1523.5,2595.25,0.0,20312.0
113,Gentamicin - peak,3208.1724137931033,4355721.453032104,2845.0,2722.0,167.0,8763.0
114,Cyclosporin,2518.923076923077,7772300.950126796,1485.0,1423.0,-72.0,20117.0
115,Vent Rate,1199.5699118399848,5527684.9938088935,858.0,1176.0,-28338.0,101545.0
116,Carbamazepine,2912.1052631578946,12112765.462603876,1486.5,2421.75,-736.0,16053.0
117,Tobramycin - peak,3675.1666666666665,6685193.472222221,2938.5,4490.75,842.0,7454.0
118,Tobramycin - trough,3252.0,7532826.0,1726.0,2899.5,522.0,10792.0
119,T4,4558.046511627907,26409089.811790157,2657.0,3383.5,477.0,21617.0
120,Gentamicin - trough,3771.6111111111113,4814717.459876543,3283.5,2908.25,737.0,10145.0
121,,,,,,,
122,,,,,,,
123,T3RU,11149.0,0.0,11149.0,0.0,11149.0,11149.0
124,PEEP,4509.455746457663,153363964389.2866,689.0,1185.0,-28338.0,47319220.0
125,CPK-MB INDEX,742.8837803320562,4081601.2221251726,416.0,235.25,-30573.0,36150.0
126,MPV,1423.6150694268324,1548327.6230289992,1414.0,564.0,-37376.0,96552.0
127,Temperature,1282.2808266759291,7282304.929646278,596.0,1250.0,-9153.0,101545.0
128,TV,1281.4724923234392,106426127.4572781,804.5,1213.0,-28417.0,1032835.0
129,ANF/ANA,6869.0,36208739.6,2887.0,11313.0,1565.0,15400.0
130,troponin - T,1069.9418694776004,11747773.742241675,393.0,259.5,-15370.0,105043.0
131,Pressure Support,2271.389235127479,14680893.47965749,1397.0,1743.0,-11335.0,50479.0
132,WBC's in body fluid,8442.86,210139538.28039998,4924.5,7693.25,0.0,98727.0
133,Peak Airway/Pressure,1431.139697322468,39212368.283162184,728.0,1216.5,-6638.0,169448.0
134,,,,,,,
135,Mode,2286.52,21105274.209599998,342.5,2206.5,-2254.0,22558.0
136,PTT ratio,1489.2466150870407,6340414.791211947,959.0,1078.75,-1386.0,28903.0
137,Oxyhemoglobin,992.5912475307704,10615228.697531663,252.0,611.0,-11162.0,104989.0
138,Spontaneous Rate,2070.5417322834646,8916009.312825346,1289.0,2149.0,-11334.0,28045.0
139,Device,1103.4969325153374,14256915.95244458,0.5,1436.0,-28338.0,46309.0
140,WBC's in pleural fluid,8767.0,74283831.6,6533.0,11087.25,-1.0,28619.0
141,,,,,,,
142,,,,,,,
143,Pressure Control,1254.0872093023256,6526148.257898414,352.5,1257.0,-3117.0,24611.0
144,serum ketones,819.1944444444445,3114451.55478395,370.5,542.75,-1636.0,15927.0
145,O2 Content,1021.5818881325836,6445455.6103260005,448.0,1220.0,-15054.0,104989.0
146,cd 4,4594.6,40032936.44000001,3086.5,6090.75,-1930.0,21547.0
147,WBC's in peritoneal fluid,7972.076923076923,154215792.22485206,3125.0,7192.0,180.0,48838.0
148,WBC's in pericardial fluid,4.0,0.0,4.0,0.0,4.0,4.0
149,Amikacin - trough,4289.6,8058154.44,3514.5,4730.25,408.0,8627.0
150,Amikacin - random,2263.8076923076924,5659206.9245562125,1619.5,1472.5,316.0,9937.0
151,,,,,,,
152,,,,,,,
153,Amikacin - peak,2218.5,2487654.25,2079.0,2239.0,286.0,4430.0
154,Vent Other,2023.4896694214876,16397320.460637081,771.5,1732.0,-2273.0,57364.0
155,,,,,,,
