,lab,mean,var,median,IQR,min,max,n
49,albumin,3.7359431262117995,23.37258643100187,2.0,3.0,1.0,79.0,21662
50,salicylate,1.1002785515320335,0.5345445320023607,1.0,0.0,1.0,14.0,1077
51,Acetaminophen,1.177872340425532,0.43937366341657896,1.0,0.0,1.0,8.0,1175
52,ethanol,1.0422322775263952,0.04952338465180222,1.0,0.0,1.0,4.0,1989
53,WBC's in urine,1.3177208187350176,0.5487950994687506,1.0,0.0,1.0,17.0,5423
54,bedside glucose,28.91233690587139,1544.5687113091008,17.0,32.0,1.0,765.0,17168
55,urinary specific gravity,1.3521594684385383,0.71473309743221,1.0,0.0,1.0,34.0,14749
56,direct bilirubin,2.076896352055588,8.636662129052015,1.0,1.0,1.0,64.0,8635
57,Total CO2,3.9518766756032173,31.4669156356806,2.0,4.0,1.0,133.0,7460
58,Base Excess,5.058991281675222,58.29215207888422,3.0,5.0,1.0,186.0,12273
59,folate,1.0581151832460733,0.14277067294902346,1.0,0.0,1.0,12.0,1910
60,ammonia,1.723714759535655,3.176793097111215,1.0,1.0,1.0,36.0,3015
61,TSH,1.1160990712074303,0.14542129011314142,1.0,0.0,1.0,5.0,7106
62,Vitamin B12,1.0640599001663893,0.12490003136678152,1.0,0.0,1.0,13.0,2404
63,-bands,2.9309184993531696,10.798280341440814,2.0,2.0,1.0,49.0,3865
64,LDL,1.0652706010334512,0.09367112506854507,1.0,0.0,1.0,11.0,3677
65,total cholesterol,1.0850256215600684,0.13779584691364646,1.0,0.0,1.0,13.0,5269
66,HDL,1.0770735524256652,0.1255396244070217,1.0,0.0,1.0,13.0,5112
67,triglycerides,1.3530955689362358,1.2222777075112459,1.0,0.0,1.0,23.0,6477
68,Carboxyhemoglobin,4.900041248453183,79.28634900819934,2.0,4.0,1.0,237.0,7273
69,O2 Sat (%),4.763310821422962,49.755801367766345,3.0,4.0,1.0,186.0,12734
70,Methemoglobin,4.908878504672897,79.47471978674888,2.0,4.0,1.0,237.0,7276
71,ionized calcium,3.553307157958321,41.18717517719101,2.0,2.0,1.0,180.0,9933
72,TIBC,1.085573646346081,0.10025013482037336,1.0,0.0,1.0,5.0,2641
73,Vancomycin - trough,1.8687311592217046,2.3415905222771918,1.0,1.0,1.0,18.0,3649
74,Fe/TIBC Ratio,1.072445019404916,0.08361917029334519,1.0,0.0,1.0,5.0,2319
75,Fe,1.0978962131837307,0.11639568507263691,1.0,0.0,1.0,5.0,3565
76,prealbumin,1.8008595988538683,4.689898926288611,1.0,1.0,1.0,56.0,2094
77,lipase,1.4502253174928308,2.1648032682136367,1.0,0.0,1.0,30.0,4882
78,CRP,1.4155722326454034,2.306949766139048,1.0,0.0,1.0,32.0,1066
79,ESR,1.231431646932185,0.843556484555283,1.0,0.0,1.0,16.0,1858
80,LDH,2.0891555936562365,11.01606159370476,1.0,1.0,1.0,61.0,2333
81,Vancomycin - random,2.253666485605649,4.501379212620741,1.0,2.0,1.0,27.0,1841
82,Tacrolimus-FK506,9.403846153846153,72.28192681105303,7.0,10.25,1.0,39.0,104
83,protein S,1.0,0.0,1.0,0.0,1.0,1.0,116
84,Digoxin,1.4988962472406182,1.450275023477614,1.0,1.0,1.0,20.0,906
85,protein C,1.0,0.0,1.0,0.0,1.0,1.0,122
86,CRP-hs,1.794871794871795,4.5757675800594235,1.0,0.0,1.0,13.0,234
87,Respiratory Rate,4.391053787047201,37.72707887824808,2.0,4.0,1.0,83.0,3644
88,free T4,1.1280214861235451,0.5012923667571276,1.0,0.0,1.0,19.0,2234
89,WBC's in cerebrospinal fluid,1.3224181360201512,0.4765921176500523,1.0,0.0,1.0,5.0,397
90,protein - CSF,1.134297520661157,0.2945562342795543,1.0,0.0,1.0,5.0,484
91,glucose - CSF,1.134297520661157,0.2904154475300719,1.0,0.0,1.0,5.0,484
92,haptoglobin,1.3448275862068966,2.9964738746164765,1.0,0.0,1.0,29.0,754
93,reticulocyte count,1.2487437185929648,1.7343865176679707,1.0,0.0,1.0,30.0,1194
94,Ferritin,1.0711985688729875,0.08476431094999125,1.0,0.0,1.0,5.0,2795
95,WBC's in synovial fluid,1.0888888888888888,0.08282828282828282,1.0,0.0,1.0,2.0,45
96,urinary osmolality,1.2558502340093605,0.8837479494495936,1.0,0.0,1.0,21.0,1282
97,serum osmolality,2.0825082508250827,18.875102539155648,1.0,0.0,1.0,75.0,1212
98,transferrin,1.073643410852713,0.08000301046135322,1.0,0.0,1.0,3.0,516
99,24 h urine urea nitrogen,1.1142857142857143,0.10420168067226894,1.0,0.0,1.0,2.0,35
100,amylase,1.5218702865761689,2.479023462039204,1.0,0.0,1.0,27.0,1989
101,myoglobin,1.175,0.5657563025210084,1.0,0.0,1.0,8.0,120
102,cortisol,1.1542584871947588,0.4285143336213095,1.0,0.0,1.0,20.0,1679
103,Phenytoin,2.246268656716418,4.849424945099937,1.0,2.0,1.0,19.0,402
104,prolactin,1.046875,0.06077755905511811,1.0,0.0,1.0,3.0,128
105,Phenobarbital,1.4722222222222223,0.6563492063492065,1.0,1.0,1.0,4.0,36
106,Tobramycin - random,1.5,1.413978494623656,1.0,1.0,1.0,8.0,94
107,24 h urine protein,1.1308411214953271,0.151814312667281,1.0,0.0,1.0,4.0,214
108,Theophylline,1.75,2.2183098591549295,1.0,1.0,1.0,7.0,72
109,Gentamicin - random,1.320754716981132,0.4528301886792452,1.0,0.0,1.0,4.0,53
110,Lidocaine,2.217391304347826,9.99604743083004,1.0,1.0,1.0,16.0,23
111,Lithium,2.1707317073170733,6.814874050379846,1.0,1.0,1.0,16.0,123
112,T3,1.1660079051383399,1.3294748729531343,1.0,0.0,1.0,17.0,253
113,Gentamicin - peak,2.0357142857142856,1.517195767195767,2.0,1.25,1.0,5.0,28
114,Cyclosporin,4.791666666666667,42.60688405797101,2.0,4.5,1.0,31.0,24
115,Vent Rate,4.07730455075846,24.68879903532215,2.0,4.0,1.0,53.0,3428
116,Carbamazepine,1.5352112676056338,1.8523138832997976,1.0,0.0,1.0,9.0,71
117,Tobramycin - peak,1.4615384615384615,0.7692307692307692,1.0,1.0,1.0,4.0,13
118,Tobramycin - trough,1.6,1.1666666666666665,1.0,1.0,1.0,5.0,25
119,T4,1.1105398457583548,0.5831102748257496,1.0,0.0,1.0,15.0,389
120,Gentamicin - trough,1.9642857142857142,1.5987012987012983,2.0,1.0,1.0,6.0,56
121,RPR titer,1.0,,1.0,0.0,1.0,1.0,1
122,Legionella pneumophila Ab,1.0,0.0,1.0,0.0,1.0,1.0,2
123,T3RU,1.0153846153846153,0.015384615384615384,1.0,0.0,1.0,2.0,65
124,PEEP,4.4858029109997615,39.06274588859296,2.0,4.0,1.0,82.0,4191
125,CPK-MB INDEX,2.466292134831461,3.172633739441624,2.0,2.0,1.0,16.0,2136
126,MPV,7.830662624512776,55.21088802390104,6.0,7.0,1.0,138.0,18472
127,Temperature,3.740599714421704,28.69299064239935,2.0,3.0,1.0,133.0,4202
128,TV,4.956466717286763,41.856838550727424,3.0,5.0,1.0,131.0,3951
129,ANF/ANA,1.0284090909090908,0.02775974025974026,1.0,0.0,1.0,2.0,176
130,troponin - T,2.638557277114554,4.0865515765584375,2.0,2.0,1.0,23.0,3937
131,Pressure Support,1.9545700378583017,3.345337599123429,1.0,1.0,1.0,18.0,1849
132,WBC's in body fluid,1.1587301587301588,0.19128500657163075,1.0,0.0,1.0,4.0,315
133,Peak Airway/Pressure,3.7356687898089174,25.319682139150604,2.0,3.0,1.0,49.0,314
134,Clostridium difficile toxin A+B,1.0,0.0,1.0,0.0,1.0,1.0,6
135,Mode,1.3225806451612903,0.8952660242982824,1.0,0.0,1.0,9.0,155
136,PTT ratio,3.088888888888889,27.21070625281152,1.0,2.0,1.0,76.0,495
137,Oxyhemoglobin,4.8328479906814215,93.90735860916408,2.0,4.0,1.0,168.0,1717
138,Spontaneous Rate,3.1746575342465753,10.82506001977122,2.0,3.0,1.0,22.0,292
139,Device,3.423791821561338,25.96152138933585,1.0,2.0,1.0,39.0,269
140,WBC's in pleural fluid,1.0869565217391304,0.08009153318077801,1.0,0.0,1.0,2.0,115
141,Vancomycin - peak,1.0,0.0,1.0,0.0,1.0,1.0,18
142,Site,1.0,0.0,1.0,0.0,1.0,1.0,3
143,Pressure Control,2.2227488151658767,7.080906440319256,1.0,1.0,1.0,35.0,422
144,serum ketones,2.0093457943925235,3.8778465183625115,1.0,1.0,1.0,13.0,214
145,O2 Content,5.24177755460708,69.62334711574921,3.0,5.0,1.0,168.0,3983
146,cd 4,1.0694444444444444,0.07905982905982904,1.0,0.0,1.0,3.0,144
147,WBC's in peritoneal fluid,1.2363636363636363,0.25791245791245787,1.0,0.0,1.0,3.0,55
148,WBC's in pericardial fluid,1.0833333333333333,0.08333333333333331,1.0,0.0,1.0,2.0,12
149,Amikacin - trough,1.8333333333333333,3.9696969696969693,1.0,1.0,1.0,8.0,12
150,Amikacin - random,3.1666666666666665,5.606060606060606,3.0,3.25,1.0,9.0,12
151,NAPA,1.0,,1.0,0.0,1.0,1.0,1
152,Procainamide,1.0,,1.0,0.0,1.0,1.0,1
153,Amikacin - peak,1.5,1.1428571428571428,1.0,0.25,1.0,4.0,8
154,Vent Other,2.136150234741784,3.981419497376415,1.0,2.0,1.0,16.0,426
155,HSV 1&2 IgG AB titer,,,,,,,0
156,HIV 1&2 AB,,,,,,,0
157,HSV 1&2 IgG AB,1.0,0.0,1.0,0.0,1.0,1.0,7
